kod;marka;model;nazwa;kategoria;zastosowanie;pewnosc;stare_zastosowanie
MO1_15222192;Alliance;FarmPRO 324;12.4-24 Alliance FarmPRO 324 121A8 8PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_15222172;Alliance;FarmPRO 324;9.5-24 Alliance FarmPRO 324 112A8 8PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_15222075;Alliance;FarmPRO 324;8.00-20 Alliance FarmPRO 324 111A6 8PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_15222049;Alliance;FarmPRO 324;6.50-16 Alliance FarmPRO 324 98A6 8PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_15221129;Alliance;FarmPRO 303;6.00-16 Alliance FarmPRO 303 88A6/80A8 6PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_15212592;Alliance;Forestry 331;550/45-22.5 Alliance Forestry 331 147A2/140A8 12PR TL;leśne;Ciągnik;PEWNE;Ciągnik
MO1_15212559;Alliance;FarmPRO 327;500/55-20 Alliance FarmPRO 327 143A8/155A8 12PR TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_15211695;Alliance;FarmPRO 327;500/50-17 Alliance FarmPRO 327 141A8 18PR TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_15211683;Alliance;FarmPRO 327;380/55-17 Alliance FarmPRO 327 125A8/138A8 12PR TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_15211676;Alliance;FarmPRO 327;480/45-17 Alliance FarmPRO 327 134A8/146A8 14PR TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10006237;Alliance;Agri Nova;18.4-34 Alliance Agri Nova 142A8 8PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10005658;Alliance;Agristar II Row Crop;320/90R46 Alliance Agristar II Row Crop 148D/145E TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10005656;Alliance;Agristar II Row Crop;300/95R46 Alliance Agristar II Row Crop 148D/145E TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10005653;Alliance;Agristar II Row Crop;230/95R44 Alliance Agristar II Row Crop 134D/131E TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10005648;Alliance;Agristar II Row Crop;230/95R36 Alliance Agristar II Row Crop 130D/127E TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10005643;Alliance;Agristar II Row Crop;230/95R28 Alliance Agristar II Row Crop 110D/107E TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10004030;Alliance;Agri Star II;520/70R34 Alliance Agri Star II 168D SB TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10003614;Alliance;601, M+S;15.5/55R18 Alliance 601, M+S 140A8/140B SB TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10003421;Alliance;Agriflex 363 + XT;VF300/95R52 Alliance Agriflex 363 + XT 160D SB TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10002567;Alliance;Agri Star II;650/65R38 Alliance Agri Star II 171D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10002566;Alliance;Agri Star II;600/65R38 Alliance Agri Star II 159D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10002565;Alliance;Agri Star II;540/65R38 Alliance Agri Star II 153D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10002564;Alliance;Agri Star II;600/65R34 Alliance Agri Star II 157D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10002563;Alliance;Agri Star II;540/65R34 Alliance Agri Star II 152D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10002560;Alliance;Agri Star II;540/65R28 Alliance Agri Star II 149D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10002559;Alliance;Agri Star II;480/65R28 Alliance Agri Star II 142D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10002558;Alliance;Agri Star II;440/65R28 Alliance Agri Star II 138D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10002557;Alliance;Agri Star II;540/65R24 Alliance Agri Star II 146D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10002554;Alliance;Agri Star II;420/65R20 Alliance Agri Star II 135D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10002553;Alliance;Agri Star II;420/65R24 Alliance Agri Star II 138D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10002552;Alliance;Agri Star II;480/65R24 Alliance Agri Star II 140D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10002551;Alliance;Agri Star II;650/65R42 Alliance Agri Star II 170D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10000151;Alliance;Agri Star II;420/80R46 Alliance Agri Star II 159D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10000149;Alliance;Agri Star II;260/70R20 Alliance Agri Star II 113D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10000147;Alliance;Agri Star II;580/70R42 Alliance Agri Star II 158D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10000133;Alliance;Agri Star II;320/85R34 Alliance Agri Star II 133D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10000105;Alliance;Agri Star II;250/85R24 Alliance Agri Star II 109D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO1_10000104;Alliance;Agri Star II;360/70R28 Alliance Agri Star II 125D Stubble Guard TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO2_152.26.948;Alliance;579;240/70R16 Alliance 579 104A8/104B;rolnicze;Ciągnik;PEWNE;Ciągnik
MO3_71045265Af644f20tt;Alliance;F-644;710/45-26.5 Alliance F-644 20PR TT;leśne;Ciągnik;WZORZEC;Ciągnik
MO3_10075153A32310;Alliance;323;10.0/75-15.3 Alliance 323 10PR TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO3_71045265Af643f20tt;Alliance;F-643;710/45-26.5 Alliance F-643 20PR TT;leśne;Ciągnik;WZORZEC;Ciągnik
MO3_3408020A585;Alliance;585;340/80R20 Alliance 585 144A8/144B TL;przemysłowe;Ciągnik;WZORZEC;Ciągnik
MO3_60055265Af644f20tt;Alliance;F-644;600/55-26.5 Alliance F-644 20PR TT;leśne;Ciągnik;WZORZEC;Ciągnik
MO3_1956515a;Alliance;768;195/65-15 Alliance 768 8PR TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO3_4607024A585;Alliance;585 (17.5R24);460/70R24 Alliance 585 (17.5R24) 159A8/159B TL;przemysłowe;Ciągnik;WZORZEC;Ciągnik
MO3_2109532Ademo;Alliance;350;210/95R32 Alliance 350 116D/116A8 TL demo;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO3_3009552A350149;Alliance;350;300/95R52 Alliance 350 149D/152A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO3_3809054A;Alliance;350;380/90R54 Alliance 350 152D/155A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO3_2309544A-IN;Alliance;350;230/95R44 Alliance 350 134D/137A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO3_2709538A-IN;Alliance;350;270/95R38 Alliance 350 137D/140A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO3_11232A;Alliance;350;270/95R32 Alliance 350 132D/135A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO3_2309536A-IN;Alliance;350;230/95R36 Alliance 350 130D/133A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_76800001AL-IN;Alliance;768;195/65-15 Alliance 768 8PR TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_58510748AL-IG;Alliance;585;400/70R20 Alliance 585 149A8/B 20PR TL;leśne;Ciągnik;WZORZEC;Ciągnik
MO2_58500035AL-IG;Alliance;585;12.5R18 Alliance 585 143A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_58500004AL-IG;Alliance;585;480/80R26 Alliance 585 167A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_58500003AL-IG;Alliance;585;440/80R28 Alliance 585 163A8/163B TL;przemysłowe;Ciągnik;WZORZEC;Ciągnik
MO2_39810020AL;Alliance;398 MPT;600/50R22.5 Alliance 398 MPT 164J TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_39800025AL;Alliance;398 MPT;445/65R22.5 Alliance 398 MPT 160J TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_39022808AL;Alliance;390;600/50R22.5 Alliance 390 162D/159E TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_39021040AL;Alliance;390;500/45R22.5 Alliance 390 154F TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_37601069AL-IN;Alliance;376 MULTISTAR;900/60R32 Alliance 376 MULTISTAR 191D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_37301016AL-AP;Alliance;Agriflex 373 +;VF600/70R30 Alliance Agriflex 373 + 174D TL;leśne;Ciągnik;WZORZEC;Ciągnik
MO2_37301013AL-AP;Alliance;Agriflex 373 +;VF540/65R28 Alliance Agriflex 373 + 163D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_37301010AL-AP;Alliance;Agriflex 373 +;VF600/65R38 Alliance Agriflex 373 + 174D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_37301002AL-AP;Alliance;Agriflex 373 +;VF650/65R34 Alliance Agriflex 373 + 176D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35400052AL;Alliance;354;IF320/105R46 Alliance 354 166D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35075255AL;Alliance;350;14.9R50 Alliance 350 161A8/158D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35075124AL;Alliance;350;12.4R54 Alliance 350 151D/154A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35067090AL-IG;Alliance;350;300/95R52 Alliance 350 149D/152A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35067085AL;Alliance;350;12.4R52 Alliance 350 159A8/156D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35067073AL;Alliance;350;12.4R52 Alliance 350 148D/151A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35055252AL-IN;Alliance;350;11.2R46 Alliance 350 144A8/141D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35050033AL-IG;Alliance;350;13.6R48 Alliance 350 156D/159A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35050032AL-IN;Alliance;350;13.6R48 Alliance 350 151D/154A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35050032AL-IG;Alliance;350;13.6R48 Alliance 350 151D/154A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35050030AL-IG;Alliance;350;9.5R48 Alliance 350 136D/139A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35050020AL-IN;Alliance;350;12.4R46 Alliance 350 148D/151A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35050016AL-IN;Alliance;350;8.3R36 Alliance 350 118D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35050010AL-IN;Alliance;350;9.5R44 Alliance 350 137A8/134D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35050008AL-IN;Alliance;350;8.3R32 Alliance 350 116D/116A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35050007AL-IN;Alliance;350;9.5R36 Alliance 350 130D/133A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35050003AL-IN;Alliance;350;11.2R38 Alliance 350 137D/140A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35050002AL-IN;Alliance;350;11.2R36 Alliance 350 136D/139A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35045554ALL;Alliance;350;12.4R46 Alliance 350 148D/151A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_35025009AL-IN;Alliance;350;11.2R44 Alliance 350 145A8/142D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_34502989AL;Alliance;345;28L-26 Alliance 345 20PR;leśne;Ciągnik;WZORZEC;Ciągnik
MO2_34435416AL;Alliance;344;710/40-22.5 Alliance 344 16PR TL;leśne;Ciągnik;WZORZEC;Ciągnik
MO2_33300276AL-IN;Alliance;333;20.8-38 Alliance 333 164A8/160B TL;leśne;Ciągnik;WZORZEC;Ciągnik
MO2_33300149AL-IN;Alliance;333;16.9R38 Alliance 333 149A8/146B TL;leśne;Ciągnik;WZORZEC;Ciągnik
MO2_33300134AL-IN;Alliance;333;460/85-30 Alliance 333 150A8/147B TL;leśne;Ciągnik;WZORZEC;Ciągnik
MO2_33300126AL-IN;Alliance;333;420/85-30 Alliance 333 145A8/142B TL;leśne;Ciągnik;WZORZEC;Ciągnik
MO2_33300104AL-IN;Alliance;333;14.9-28 Alliance 333 139A8/136B TL;leśne;Ciągnik;WZORZEC;Ciągnik
MO2_32301130AL-IN;Alliance;323;405/70-24 Alliance 323 14PR TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_32301022AL-IN;Alliance;323;405/70-20 Alliance 323 16PR TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_32301020AL-IN;Alliance;323;405/70-20 Alliance 323 14PR TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_3071230953610000;Alliance;350;230/95R36 Alliance 350 133A8/130D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_152.26.205;Alliance;350;9.5R42 Alliance 350 133D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO2_152.26.100;Alliance;350;9.5R32 Alliance 350 131A8/128D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO1_15285410;Alliance;585;340/80R18 Alliance 585 143A8/143B SB TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO1_15235238;Alliance;585;500/70R24 Alliance 585 164A8/164B SB TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO1_15235226;Alliance;585;460/70R24 Alliance 585 159A8/159B SB TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO1_15226762;Alliance;Multistar 376;680/85R32 Alliance Multistar 376 178A8 TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO1_15226306;Alliance;350;300/95R46 Alliance 350 151A8/148D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO1_15226255;Alliance;350;230/95R44 Alliance 350 137A8/134D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO1_15226185;Alliance;350;270/95R38 Alliance 350 140A8/137D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO1_15226165;Alliance;350;270/95R36 Alliance 350 139A8/136D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO1_15226100;Alliance;350;230/95R32 Alliance 350 131A8/128D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO1_15226070;Alliance;350;210/95R32 Alliance 350 119A8/116D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO1_15215825;Alliance;390;28L-26 Alliance 390 176A8/173B SB TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO1_15215530;Alliance;390;560/60R22.5 Alliance 390 164D SB TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO1_10003901;Alliance;Agriflex 373 +;VF520/70R38 Alliance Agriflex 373 + 170D SB TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO1_10003506;Alliance;350;300/95R52 Alliance 350 159A8/156D SB TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO1_10001733;Alliance;350;380/90R50 Alliance 350 161A8/158D TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO1_10000978;Alliance;585;480/80R26 Alliance 585 167A8/167B SB TL;rolnicze;Ciągnik;WZORZEC;Ciągnik
MO9_106992;BKT;AGRIMAX RT 657;600/65R30 BKT AGRIMAX RT 657 155D TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_106990;BKT;Agrimax Spargo E;380/95R38 BKT Agrimax Spargo SB E 165D;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_106665;BKT;AGRIMAX SPARGO E;380/90R50 BKT AGRIMAX SPARGO E 175D TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_104166;BKT;AGRIMAX RT955 E131A8 B;270/80R32 BKT AGRIMAX RT955 E131A8 B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_103369;BKT;TR 135;14.9x28 BKT TR 135 14PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_103105;BKT;TR 135;13.6x24 BKT TR 135 12PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_103038;BKT;TR 135;14.9x24 BKT TR 135 12PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_103031;BKT;TR 135;12.4x24 BKT TR 135 12PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_102458;BKT;Agrimax RT 855;210/95R16 BKT Agrimax RT 855 116A8/B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_102456;BKT;AGRIMAX RT 945;320/90R50 BKT AGRIMAX RT 945 150A8/B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_102103;BKT;AGRIMAX RT 855;420/85R34 BKT AGRIMAX RT 855 147A8/B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_99887;BKT;AGRIMAX FORCE;380/80R38 BKT AGRIMAX FORCE 149D;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_99434;BKT;AGRIMAX RT 855;420/80R46 BKT AGRIMAX RT 855 151D/162A2 TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_99356;BKT;TR 135;12.4x16 BKT TR 135 4PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_99030;BKT;Ridemax IT 696;360/80R20 BKT Ridemax IT 696 147A8/143D TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_98968;BKT;AGRIMAX RT 855;520/85R42 BKT AGRIMAX RT 855 167A8/B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_98655;BKT;Agrimax FORCE;710/55R30 BKT Agrimax FORCE 166D;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_69205;BKT;TR 135;11.2x24 BKT TR 135 8PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_68981;BKT;TR 135;23.1x26 BKT TR 135 153A6 12PR TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_68978;BKT;TR 135;16.9x34 BKT TR 135 8PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_68976;BKT;TR 135;18.4x38 BKT TR 135 12PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_68970;BKT;TR 135;9.5x24 BKT TR 135 8PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_68556;BKT;TF 8181;4.00x16 BKT TF 8181 4PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_68172;BKT;RIDEMAX IT 696;540/80R38 BKT RIDEMAX IT 696 172A8/167D TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_68134;BKT;AGRIMAX RT 945;380/90R50 BKT AGRIMAX RT 945 160A8/B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_68109;BKT;TR 135;7.2x30 BKT TR 135 6PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_67883;BKT;RT 747;17.5L-24 BKT RT 747 159A8/156B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_67470;BKT;TR 135;16.9x30 BKT TR 135 14PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_67269;BKT;TF 8181;6.00x16 BKT TF 8181 8PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_67203;BKT;AGRIMAX FORCE;420/85R38 BKT AGRIMAX FORCE 155D TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_67057;BKT;AGRIMAX FACTOR;380/70R28 BKT AGRIMAX FACTOR 127D/130A8 TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_66786;BKT;TR 675;500/60x22.5 BKT TR 675 16PR TL;przemysłowe;Ciągnik;PEWNE;Ciągnik
MO9_66781;BKT;TR 171;12.4x32 BKT TR 171 8PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_66723;BKT;TR 678 FRS CLSSBT E;710/55x34 BKT TR 678 FRS CLSSBT E 14PR TL;leśne;Ciągnik;PEWNE;Ciągnik
MO9_66701;BKT;AGRIMAX FORCE;900/50R42 BKT AGRIMAX FORCE 180D TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_66620;BKT;AGRIMAX RT 600;900/60R32 BKT AGRIMAX RT 600 181A8/178B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_66593;BKT;RIDEMAX IT 696;480/80R38 BKT RIDEMAX IT 696 166A8/161D TL;przemysłowe;Ciągnik;PEWNE;Ciągnik
MO9_66466;BKT;AGRIMAX RT 855;460/85R34 BKT AGRIMAX RT 855 147A8/B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_66278;BKT;AGRIMAX RT 657;320/65R16 BKT AGRIMAX RT 657 120A8/117D TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_66169;BKT;Agrimax FORCE;710/55R34 BKT Agrimax FORCE 170D TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_66113;BKT;AGRIMAX RT 855;180/95R16 BKT AGRIMAX RT 855 105A8/105B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_65833;BKT;AGRIMAX FACTOR E;380/70R24 BKT AGRIMAX FACTOR E 125D/128A8 TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_65705;BKT;AGRIMAX RT 855;520/85R46 BKT AGRIMAX RT 855 173A8/B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_65695;BKT;AGRIMAX FORCE E;650/75R38 BKT AGRIMAX FORCE E 175D;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_64837;BKT;TR 315;31x15.5-15 BKT TR 315 10PR TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_64587;BKT;TR 678 E;320/60x12 BKT TR 678 E 132A8 TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_64180;BKT;TR 270;23.1x26 BKT TR 270 10PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_63710;BKT;TR 173 E;8x18 BKT TR 173 E 6PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_63619;BKT;AGRIMAX FORCE;710/75R34 BKT AGRIMAX FORCE 178D TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_63405;BKT;TR 117;11.2x24 BKT TR 117 6PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_63262;BKT;TR 173 E;8.3x20 BKT TR 173 E 6PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_63137;BKT;TR 173 E;9.5x22 BKT TR 173 E 6PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_63114;BKT;TR 173 E;8.3x22 BKT TR 173 E 6PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_63069;BKT;AGRIMAX RT 600 E 1;250/50R32 BKT AGRIMAX RT 600 E 1 201B;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_63058;BKT;TR 173 E;8.3x24 BKT TR 173 E 6PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_63018;BKT;TR 173 E;9.5x24 BKT TR 173 E 6PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_62962;BKT;AGRIMAX RT 851;14.9L-20 BKT AGRIMAX RT 851 119A8/119B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_62661;BKT;AGRIMAX SIRIO HIGH SPEED;540/65R30 BKT AGRIMAX SIRIO HIGH SPEED 150D/147E TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_62474;BKT;AGRIMAX RT 600;800/65R32 BKT AGRIMAX RT 600 176A8/173B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_62266;BKT;TR 882;400/60x15.5 BKT TR 882 18PR TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_62119;BKT;TR 459;18.4x26 BKT TR 459 12PR TL;przemysłowe;Ciągnik;PEWNE;Ciągnik
MO9_61960;BKT;TR 135;9.5x20 BKT TR 135 6PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_61855;BKT;AGRIMAX FORTIS;650/85R38 BKT AGRIMAX FORTIS 173D/176A8 TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_61693;BKT;TR 135;14.9x24 BKT TR 135 8PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_61501;BKT;AGRIMAX RT 955;230/95R44 BKT AGRIMAX RT 955 134A8/B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_61319;BKT;TF 8181;6.00x16 BKT TF 8181 6PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_61299;BKT;AGRIMAX RT 855;380/85R30 BKT AGRIMAX RT 855 135A8/B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_61291;BKT;AGRIMAX RT 765 STBT E;580/70R38 BKT AGRIMAX RT 765 STBT E 180D TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_61255;BKT;AGRIMAX RT 955;300/95R46 BKT AGRIMAX RT 955 148A8/B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_61213;BKT;TR 171 E;8x18 BKT TR 171 E 4PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_60732;BKT;TR 171;13.6x24 BKT TR 171 6PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_60616;BKT;TF 9090;9.00x16 BKT TF 9090 10PR TT;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_60317;BKT;AGRIMAX RT 765 E;480/70R30 BKT AGRIMAX RT 765 E 141D TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_59924;BKT;AGRIMAX RT 765;710/70R38 BKT AGRIMAX RT 765 166D TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_59898;BKT;TR 391;14.9x24 BKT TR 391 128A6 8PR TL;przemysłowe;Ciągnik;PEWNE;Ciągnik
MO9_59096;BKT;AGRIMAX RT 657;650/65R42 BKT AGRIMAX RT 657 165D/168A8 TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_59070;BKT;AGRIMAX RT 955;230/95R42 BKT AGRIMAX RT 955 133A8/B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_58956;BKT;AGRIMAX RT 855;280/85R24 BKT AGRIMAX RT 855 115A8/B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
MO9_58730;BKT;AGRIMAX RT 855;340/85R38 BKT AGRIMAX RT 855 133A8/B TL;rolnicze;Ciągnik;PEWNE;Ciągnik
